EDX cell sector AFP compatibility matrix
   41   13.00    5.00    1.76    1.00
ABAA0001     1.05   226.23     6.64    2    2    0    1
   78   89
     ABAA0001   0.0
     ABAA0002  64.8
     ABAA0003  28.6
     ABAB0001  59.0
     ABAB0002  21.0
     ABAC0002   7.6
     ABAD0001  10.5
     ABAE0001  15.2
     ABAE0002  20.0
     ABAF0001  11.4
     ABAF0002   0.0
     ABAG0001  45.7
     ABAG0003   0.0
     ABAH0001   4.8
     ABAH0003   2.9
     ABAI0001  26.7
     ABAJ0001   1.9
     ABAJ0002   0.0
     ABAJ0003   1.0
     ABAK0001   1.0
     ABAK0003   1.9
     ABAL0002   1.9
     ABAL0003   5.7
     ABAM0001   3.8
     ABAM0002   0.0
     ABAM0003  14.3
     ABAN0001   0.0
     ABAN0002   0.0
     ABAO0001   6.7
     ABAO0002   1.9
     ABAP0001   4.8
     ABAQ0001   0.0
     ABAR0001   1.0
     ABAS0001   0.0
     ABAT0001   0.0
     ABAU0001   0.0
     ABAU0002   0.0
     ABAV0001   0.0
     ABAV0002   0.0
     ABAW0001  17.1
     ABAW0002   0.0
ABAA0002    43.01   934.84    27.42    6    3    0    0
   33   50  110
     ABAA0001   3.1
     ABAA0002   0.0
     ABAA0003   1.3
     ABAB0001   4.7
     ABAB0002  22.4
     ABAC0002  10.4
     ABAD0001  21.8
     ABAE0001  72.3
     ABAE0002  63.8
     ABAF0001   8.2
     ABAF0002   0.2
     ABAG0001   0.2
     ABAG0003   0.7
     ABAH0001   0.3
     ABAH0003   1.0
     ABAI0001  43.9
     ABAJ0001   0.0
     ABAJ0002   3.8
     ABAJ0003   0.4
     ABAK0001   0.9
     ABAK0003   0.6
     ABAL0002  65.1
     ABAL0003   0.4
     ABAM0001   0.1
     ABAM0002   4.7
     ABAM0003  15.8
     ABAN0001   0.8
     ABAN0002   0.5
     ABAO0001   8.5
     ABAO0002  38.2
     ABAP0001   0.3
     ABAQ0001   0.7
     ABAR0001   0.1
     ABAS0001   1.3
     ABAT0001   0.3
     ABAU0001   0.3
     ABAU0002   0.1
     ABAV0001   0.1
     ABAV0002   1.3
     ABAW0001  17.6
     ABAW0002  26.6
ABAA0003     1.20   363.38    10.66    3    3    0    2
   30   48   65
     ABAA0001  27.5
     ABAA0002  80.0
     ABAA0003   0.0
     ABAB0001   3.3
     ABAB0002   0.0
     ABAC0002   2.5
     ABAD0001   6.7
     ABAE0001  10.8
     ABAE0002  55.0
     ABAF0001   4.2
     ABAF0002   0.0
     ABAG0001  22.5
     ABAG0003  54.2
     ABAH0001   0.0
     ABAH0003   0.8
     ABAI0001  10.8
     ABAJ0001   0.0
     ABAJ0002   0.0
     ABAJ0003   1.7
     ABAK0001   1.7
     ABAK0003   5.8
     ABAL0002   7.5
     ABAL0003  37.5
     ABAM0001   0.0
     ABAM0002   0.0
     ABAM0003   3.3
     ABAN0001   0.0
     ABAN0002   0.0
     ABAO0001  23.3
     ABAO0002   3.3
     ABAP0001   1.7
     ABAQ0001   0.0
     ABAR0001   0.0
     ABAS0001   0.0
     ABAT0001   0.0
     ABAU0001   0.0
     ABAU0002   0.0
     ABAV0001   0.0
     ABAV0002   0.0
     ABAW0001   0.0
     ABAW0002   0.0
ABAB0001    16.02  1056.03    30.98    6    6    0    0
   20   30   46   65   72  118
     ABAA0001  47.6
     ABAA0002  26.7
     ABAA0003   1.1
     ABAB0001   0.0
     ABAB0002  27.1
     ABAC0002  11.2
     ABAD0001  16.2
     ABAE0001  23.0
     ABAE0002   7.1
     ABAF0001  12.1
     ABAF0002   0.0
     ABAG0001  23.7
     ABAG0003   0.3
     ABAH0001   3.1
     ABAH0003   1.7
     ABAI0001  25.8
     ABAJ0001   1.4
     ABAJ0002   0.0
     ABAJ0003   1.7
     ABAK0001   1.3
     ABAK0003   2.9
     ABAL0002   2.1
     ABAL0003   3.8
     ABAM0001   1.8
     ABAM0002   0.1
     ABAM0003   9.8
     ABAN0001   0.0
     ABAN0002   0.0
     ABAO0001  27.4
     ABAO0002   3.8
     ABAP0001   3.4
     ABAQ0001   0.0
     ABAR0001   0.2
     ABAS0001   0.1
     ABAT0001   0.0
     ABAU0001   0.0
     ABAU0002   0.0
     ABAV0001   0.1
     ABAV0002   0.0
     ABAW0001  30.4
     ABAW0002   0.0
ABAB0002     1.49   228.27     6.70    2    2    0    1
   62   81
     ABAA0001  45.0
     ABAA0002  71.8
     ABAA0003   0.0
     ABAB0001  94.0
     ABAB0002   0.0
     ABAC0002   4.0
     ABAD0001   8.7
     ABAE0001  60.4
     ABAE0002  17.4
     ABAF0001   4.7
     ABAF0002   0.0
     ABAG0001   3.4
     ABAG0003   0.7
     ABAH0001   0.0
     ABAH0003   0.0
