sectors ABAH0002 on ch  2,ABAS0002 on ch  2, cost =0.042
sectors ABAH0002 on ch 98,ABAT0002 on ch 98, cost =0.002
sectors ABAI0001 on ch 22,ABAB0002 on ch 22, cost =0.027
sectors ABAI0001 on ch 65,ABAC0002 on ch 65, cost =0.013
sectors ABAI0001 on ch 65,ABAE0001 on ch 65, cost =0.004
sectors ABAI0001 on ch **,ABAG0001 on ch **, cost =0.007
sectors ABAI0001 on ch **,ABAP0002 on ch **, cost =0.033
sectors ABAI0001 on ch 65,ABAR0001 on ch 65, cost =0.003
sectors ABAI0003 on ch  6,ABAL0002 on ch  6, cost =0.154
sectors ABAI0003 on ch  6,ABAO0003 on ch  6, cost =0.268
sectors ABAI0003 on ch  6,ABAS0001 on ch  6, cost =0.010
sectors ABAI0003 on ch 30,ABAT0001 on ch 30, cost =0.014
sectors ABAJ0001 on ch 41,ABAL0002 on ch 41, cost =0.062
sectors ABAJ0002 on ch 24,ABAO0003 on ch 24, cost =0.004
sectors ABAL0001 on ch 17,ABAA0001 on ch 17, cost =0.032
sectors ABAL0001 on ch 17,ABAO0001 on ch 17, cost =0.174
sectors ABAL0001 on ch 17,ABAR0001 on ch 17, cost =0.003
sectors ABAL0001 on ch 17,ABAS0002 on ch 17, cost =0.003
sectors ABAL0002 on ch  2,ABAB0001 on ch  2, cost =0.007
sectors ABAL0002 on ch 89,ABAD0001 on ch 89, cost =0.294
sectors ABAL0002 on ch 74,ABAD0001 on ch 74, cost =0.294
sectors ABAL0002 on ch 74,ABAF0003 on ch 74, cost =0.009
sectors ABAL0002 on ch 92,ABAF0003 on ch 92, cost =0.009
sectors ABAL0002 on ch  2,ABAH0002 on ch  2, cost =0.002
sectors ABAL0002 on ch 98,ABAH0002 on ch 98, cost =0.002
sectors ABAL0002 on ch  6,ABAI0003 on ch  6, cost =0.850
sectors ABAL0002 on ch 41,ABAJ0001 on ch 41, cost =0.081
sectors ABAL0002 on ch 74,ABAM0001 on ch 74, cost =0.018
sectors ABAL0002 on ch  2,ABAN0001 on ch  2, cost =0.240
sectors ABAL0002 on ch 98,ABAO0001 on ch 98, cost =0.012
sectors ABAL0002 on ch  6,ABAO0003 on ch  6, cost =0.485
sectors ABAL0002 on ch 89,ABAQ0002 on ch 89, cost =0.292
sectors ABAL0002 on ch  6,ABAS0001 on ch  6, cost =0.059
sectors ABAL0002 on ch  2,ABAS0002 on ch  2, cost =0.010
sectors ABAL0002 on ch 98,ABAT0002 on ch 98, cost =0.011
sectors ABAM0001 on ch 74,ABAD0001 on ch 74, cost =0.060
sectors ABAM0001 on ch 74,ABAF0003 on ch 74, cost =0.006
