-122.593272688244, 44.6349239416779, 1218.18
-122.593294980722, 44.244116236628, 1139.03
-122.590867106419, 44.6533625100405, 1123.77
-122.601628470411, 44.6416697593716, 1122.86
-122.605706153329, 44.6317758934209, 1120.78
-122.586669327646, 44.497534121318, 1098.26
-122.595073096924, 44.6191837003928, 1087.18
-122.639275807157, 44.2492880301931, 1064.21
-122.587653829679, 44.3165213465394, 1018
-122.602481469512, 44.6432437835, 1121.21
-122.625009600225, 44.2499626119624, 995.359
-122.620058743339, 44.6315510328311, 966.971
-122.620126625896, 44.3140478800518, 967.776
-122.944167942177, 44.2375952795242, 965.997
-122.588042993524, 44.4766220864678, 953
-122.597540025786, 44.5024810542934, 953.839
-122.592524508661, 44.3041540141011, 949.893
-122.645743162205, 44.2573830114254, 941.085
-122.600013990374, 44.3140478800518, 930.78
-122.607601316084, 44.5083274296278, 920.991
-122.61336141496, 44.5000075878057, 891.894
-122.61743960639, 44.5132743626031, 889.031
-122.9323023954, 44.2699752044535, 874.867
-122.651619107806, 44.2675017379658, 882.848
-122.884109550977, 44.3010059658441, 872.682
-122.962546940796, 44.2348969524467, 867.005
-122.621572547015, 44.5341863974533, 854.955
-122.904218064768, 44.2917866816628, 844.757
-122.603366371406, 44.4817938800329, 824.89
-122.918262393167, 44.278969628045, 822.553
-122.931845411297, 44.2533355208092, 811.98
-122.645883740402, 44.5591459229197, 804.086
-122.619124017725, 44.2616553626314, 798.934
-122.688381461296, 44.2733481133003, 797.738
-122.604233033821, 44.4707757111334, 797.074
-122.635947852138, 44.6508890435528, 800.161
-122.723512492863, 44.2875143304569, 793.944
-122.674920282425, 44.2724486709411, 792.389
-122.63251886765, 44.4966346789589, 786.659
-122.643203062037, 44.3133732982824, 782.882
-122.697367615239, 44.2825673974816, 782.679
-122.633219331875, 44.615810791546, 778.494
-122.654946872229, 44.3183202312577, 767.86
-122.638320372757, 44.5083274296278, 767.949
-122.592474166126, 44.6731502419417, 760.942
-122.624940234032, 44.6675287271971, 761.109
-122.739171918894, 44.2866148880977, 764.596
-122.602687826602, 44.5265411374006, 755.097
-122.674951386984, 44.3225925824637, 754.892
-122.764160305531, 44.2899877969445, 742.911
